,energydata,timeframe
0,48.95283228797843,0
1,83.77974691539708,1
2,182.34691092969874,2
3,400.05676990417254,3
4,822.4167955826548,4
5,1565.0223337069306,5
6,2773.5335289164077,6
7,4623.646330594266,7
8,7321.057584522138,8
9,11101.424216192432,9
10,16230.316512613499,10
11,23003.165510427934,11
12,31745.204499147876,12
13,42811.40464929381,13
14,56586.404776203606,14
15,73484.43525125831,15
16,93949.23607324727,16
17,118453.96911357135,17
18,147501.1245499551,18
19,181622.42150430914,19
20,221378.70290135307,20
21,267359.82456557226,21
22,320184.5385750476,22
23,380500.3708916534,23
24,448983.49328807666,24
25,526338.589593064,25
26,613298.7162772522,26
27,710625.1574028817,27
28,819107.2739616408,28
29,939562.3476258161,29
30,1072835.4189388724,30
31,1219799.1199725019,31
32,1381353.501478121,32
33,1558425.854561697,33
34,1751970.526911729,34
35,1962968.7336110857,35
36,2192428.3625643486,36
37,2441383.774573167,37
38,2710895.5980930706,38
39,3002050.518706041,39
40,3315961.0633440563,40
41,3653765.379299673,41
42,4016627.0080606276,42
43,4405734.654006253,43
44,4822301.948004407,44
45,5267567.20594846,45
46,5742793.182274719,46
47,6249266.818501536,47
48,6788298.986832147,48
49,7361224.228864162,49
50,7969400.489449413,50
51,8614208.8457487,51
52,9297053.231526786,52
53,10019360.156733755,53
54,10782578.422419706,54
55,11588178.831030503,55
56,12437653.892133063,56
57,13332517.523619426,57
58,14274304.748439755,58
59,15264571.386914907,59
60,16304893.744680202,60
61,17396868.296312634,61
62,18542111.364694543,62
63,19742258.796167433,63
64,20998965.631530378,64
65,22313905.77293822,65
66,23688771.646755274,66
67,25125273.86242114,67
68,26625140.867385797,68
69,28190118.59817183,69
70,29821970.12762228,70
71,31522475.308393396,71
72,33293430.412751824,72
73,35136647.76873714,73
74,37053955.39275009,74
75,39047196.61862908,75
76,41118229.7232762,76
77,43268927.548896454,77
78,45501177.121913165,78
79,47816879.268623725,79
80,50217948.22766015,80
81,52706311.25931961,81
82,55283908.25183054,82
83,57952691.32462068,83
84,60714624.428653225,84
85,63571682.94389901,85
86,66525853.27401179,86
87,69579132.43827502,87
88,72733527.66088888,88
89,75991055.95766653,89
90,79353743.720209,90
91,82823626.2976291,91
92,86402747.57589443,92
93,90093159.55486038,93
94,93896921.92306447,94
95,97816101.63035366,95
96,101852772.45841676,96
97,106009014.58929355,97
98,110286914.17193484,98
99,114688562.8868851,99
100,119216057.5091618,100
101,123871499.46940538,101
102,128656994.41337319,102
103,133574651.75985268,103
104,138626584.25706768,104
105,143814907.53765327,105
106,149141739.67227376,106
107,154609200.72196046,107
108,160219412.2892434,108
109,165974497.0681537,109
110,171876578.39317286,110
111,177927779.78720534,111
112,184130224.50864947,112
113,190486035.0976464,113
114,196997332.92158023,114
115,203666237.7199095,115
